configured_file_bytes,run_id,placement,traffic,result,elapsed_ms,application_or_target_bytes,response_bytes
1024,RUN-0181,core_embedded,file,PASS,16,1024,
1024,RUN-0182,core_embedded,file,PASS,12,1024,
1024,RUN-0183,core_embedded,file,PASS,26,1024,
1024,RUN-0184,core_embedded,file,PASS,15,1024,
1024,RUN-0185,core_embedded,file,PASS,0,1024,
1024,RUN-0186,core_embedded,file,PASS,15,1024,
1024,RUN-0187,core_embedded,file,PASS,16,1024,
1024,RUN-0188,core_embedded,file,PASS,15,1024,
1024,RUN-0189,core_embedded,file,PASS,16,1024,
1024,RUN-0190,core_embedded,file,PASS,15,1024,
4096,RUN-0191,core_embedded,file,PASS,15,4096,
4096,RUN-0192,core_embedded,file,PASS,16,4096,
4096,RUN-0193,core_embedded,file,PASS,15,4096,
4096,RUN-0194,core_embedded,file,PASS,31,4096,
4096,RUN-0195,core_embedded,file,PASS,15,4096,
4096,RUN-0196,core_embedded,file,PASS,15,4096,
4096,RUN-0197,core_embedded,file,PASS,16,4096,
4096,RUN-0198,core_embedded,file,PASS,15,4096,
4096,RUN-0199,core_embedded,file,PASS,20,4096,
4096,RUN-0200,core_embedded,file,PASS,16,4096,
65536,RUN-0201,core_embedded,file,PASS,16,65536,
65536,RUN-0202,core_embedded,file,PASS,15,65536,
65536,RUN-0203,core_embedded,file,PASS,15,65536,
65536,RUN-0204,core_embedded,file,PASS,19,65536,
65536,RUN-0205,core_embedded,file,PASS,24,65536,
65536,RUN-0206,core_embedded,file,PASS,13,65536,
65536,RUN-0207,core_embedded,file,PASS,15,65536,
65536,RUN-0208,core_embedded,file,PASS,22,65536,
65536,RUN-0209,core_embedded,file,PASS,15,65536,
65536,RUN-0210,core_embedded,file,PASS,15,65536,
1048576,RUN-0211,core_embedded,file,PASS,20,1048576,
1048576,RUN-0212,core_embedded,file,PASS,15,1048576,
1048576,RUN-0213,core_embedded,file,PASS,17,1048576,
1048576,RUN-0214,core_embedded,file,PASS,18,1048576,
1048576,RUN-0215,core_embedded,file,PASS,15,1048576,
1048576,RUN-0216,core_embedded,file,PASS,24,1048576,
1048576,RUN-0217,core_embedded,file,PASS,15,1048576,
1048576,RUN-0218,core_embedded,file,PASS,14,1048576,
1048576,RUN-0219,core_embedded,file,PASS,13,1048576,
1048576,RUN-0220,core_embedded,file,PASS,16,1048576,
