run_id,placement,traffic,result,elapsed_ms,application_or_target_bytes,response_bytes
RUN-0001,sidecar,message,PASS,50,22,
RUN-0002,sidecar,message,PASS,37,22,
RUN-0003,sidecar,message,PASS,37,22,
RUN-0004,sidecar,message,PASS,37,22,
RUN-0005,sidecar,message,PASS,37,22,
RUN-0006,sidecar,message,PASS,36,22,
RUN-0007,sidecar,message,PASS,37,22,
RUN-0008,sidecar,message,PASS,50,22,
RUN-0009,sidecar,message,PASS,53,22,
RUN-0010,sidecar,message,PASS,37,23,
RUN-0011,sidecar,message,PASS,36,23,
RUN-0012,sidecar,message,PASS,37,23,
RUN-0013,sidecar,message,PASS,36,23,
RUN-0014,sidecar,message,PASS,52,23,
RUN-0015,sidecar,message,PASS,32,23,
RUN-0016,sidecar,message,PASS,37,23,
RUN-0017,sidecar,message,PASS,52,23,
RUN-0018,sidecar,message,PASS,36,23,
RUN-0019,sidecar,message,PASS,37,23,
RUN-0020,sidecar,message,PASS,36,23,
RUN-0021,sidecar,message,PASS,37,23,
RUN-0022,sidecar,message,PASS,32,23,
RUN-0023,sidecar,message,PASS,52,23,
RUN-0024,sidecar,message,PASS,36,23,
RUN-0025,sidecar,message,PASS,36,23,
RUN-0026,sidecar,message,PASS,52,23,
RUN-0027,sidecar,message,PASS,37,23,
RUN-0028,sidecar,message,PASS,37,23,
RUN-0029,sidecar,message,PASS,49,23,
RUN-0030,sidecar,message,PASS,52,23,
RUN-0031,sidecar,file,PASS,31,4096,
RUN-0032,sidecar,file,PASS,31,4096,
RUN-0033,sidecar,file,PASS,15,4096,
RUN-0034,sidecar,file,PASS,16,4096,
RUN-0035,sidecar,file,PASS,15,4096,
RUN-0036,sidecar,file,PASS,13,4096,
RUN-0037,sidecar,file,PASS,15,4096,
RUN-0038,sidecar,file,PASS,15,4096,
RUN-0039,sidecar,file,PASS,15,4096,
RUN-0040,sidecar,file,PASS,15,4096,
RUN-0041,sidecar,file,PASS,31,4096,
RUN-0042,sidecar,file,PASS,31,4096,
RUN-0043,sidecar,file,PASS,13,4096,
RUN-0044,sidecar,file,PASS,31,4096,
RUN-0045,sidecar,file,PASS,31,4096,
RUN-0046,sidecar,file,PASS,15,4096,
RUN-0047,sidecar,file,PASS,29,4096,
RUN-0048,sidecar,file,PASS,0,4096,
RUN-0049,sidecar,file,PASS,15,4096,
RUN-0050,sidecar,file,PASS,24,4096,
RUN-0051,sidecar,file,PASS,26,4096,
RUN-0052,sidecar,file,PASS,15,4096,
RUN-0053,sidecar,file,PASS,16,4096,
RUN-0054,sidecar,file,PASS,15,4096,
RUN-0055,sidecar,file,PASS,15,4096,
RUN-0056,sidecar,file,PASS,5,4096,
RUN-0057,sidecar,file,PASS,15,4096,
RUN-0058,sidecar,file,PASS,31,4096,
RUN-0059,sidecar,file,PASS,15,4096,
RUN-0060,sidecar,file,PASS,31,4096,
RUN-0061,sidecar,openweb,PASS,883,132045,321740
RUN-0062,sidecar,openweb,PASS,701,132045,321740
RUN-0063,sidecar,openweb,PASS,760,132045,321740
RUN-0064,sidecar,openweb,PASS,1420,132045,321740
RUN-0065,sidecar,openweb,PASS,1090,132045,321740
RUN-0066,sidecar,openweb,PASS,670,132044,321739
RUN-0067,sidecar,openweb,PASS,668,132045,321740
RUN-0068,sidecar,openweb,PASS,751,132045,321740
RUN-0069,sidecar,openweb,PASS,636,132045,321740
RUN-0070,sidecar,openweb,PASS,767,132045,321740
RUN-0071,sidecar,openweb,PASS,686,132045,321740
RUN-0072,sidecar,openweb,PASS,647,132045,321740
RUN-0073,sidecar,openweb,PASS,702,132045,321740
RUN-0074,sidecar,openweb,PASS,744,132045,321740
RUN-0075,sidecar,openweb,PASS,738,132045,321740
RUN-0076,sidecar,openweb,PASS,878,132045,321740
RUN-0077,sidecar,openweb,PASS,675,132045,321740
RUN-0078,sidecar,openweb,PASS,593,132045,321740
RUN-0079,sidecar,openweb,PASS,717,132045,321740
RUN-0080,sidecar,openweb,PASS,632,132045,321740
RUN-0081,sidecar,openweb,PASS,646,132045,321740
RUN-0082,sidecar,openweb,PASS,667,132045,321740
RUN-0083,sidecar,openweb,PASS,692,132045,321740
RUN-0084,sidecar,openweb,PASS,969,132045,321740
RUN-0085,sidecar,openweb,PASS,907,132045,321740
RUN-0086,sidecar,openweb,PASS,675,132045,321740
RUN-0087,sidecar,openweb,PASS,733,132045,321740
RUN-0088,sidecar,openweb,PASS,619,132045,321740
RUN-0089,sidecar,openweb,PASS,642,132045,321740
RUN-0090,sidecar,openweb,PASS,667,132045,321740
