action_index,action_id,traffic_type,scheduled_offset_seconds,transport_key_id,sender_pass,alice_qgp_pass,bob_qgp_pass,alice_carrier_pass,bob_carrier_pass,validation_errors,result
1,ACT-000160,message,0.0,KID-008,True,True,True,True,True,,PASS
2,ACT-000161,file,3.25,KID-008,True,True,True,True,True,,PASS
3,ACT-000162,openweb,6.5,KID-008,True,True,True,True,True,,PASS
4,ACT-000163,message,9.75,KID-008,True,True,True,True,True,,PASS
5,ACT-000164,file,13.0,KID-008,True,True,True,True,True,,PASS
6,ACT-000165,openweb,16.25,KID-008,True,True,True,True,True,,PASS
7,ACT-000166,message,19.5,KID-008,True,True,True,True,True,,PASS
8,ACT-000167,file,22.75,KID-008,True,True,True,True,True,,PASS
9,ACT-000168,openweb,26.0,KID-008,True,True,True,True,True,,PASS
10,ACT-000169,message,29.25,KID-008,True,True,True,True,True,,PASS
11,ACT-000170,file,32.5,KID-008,True,True,True,True,True,,PASS
12,ACT-000171,openweb,35.75,KID-008,True,True,True,True,True,,PASS
13,ACT-000172,message,39.0,KID-008,True,True,True,True,True,,PASS
14,ACT-000173,file,42.25,KID-008,True,True,True,True,True,,PASS
15,ACT-000174,openweb,45.5,KID-008,True,True,True,True,True,,PASS
16,ACT-000175,message,48.75,KID-008,True,True,True,True,True,,PASS
17,ACT-000176,file,52.0,KID-009,True,True,True,True,True,,PASS
18,ACT-000177,openweb,55.25,KID-009,True,True,True,True,True,,PASS
19,ACT-000178,message,58.5,KID-009,True,True,True,True,True,,PASS
20,ACT-000179,file,61.75,KID-009,True,True,True,True,True,,PASS
21,ACT-000180,openweb,65.0,KID-009,True,True,True,True,True,,PASS
22,ACT-000181,message,68.25,KID-009,True,True,True,True,True,,PASS
23,ACT-000182,file,71.5,KID-009,True,True,True,True,True,,PASS
24,ACT-000183,openweb,74.75,KID-009,True,True,True,True,True,,PASS
25,ACT-000184,message,78.0,KID-009,True,True,True,True,True,,PASS
26,ACT-000185,file,81.25,KID-009,True,True,True,True,True,,PASS
27,ACT-000186,openweb,84.5,KID-009,True,True,True,True,True,,PASS
28,ACT-000187,message,87.75,KID-009,True,True,True,True,True,,PASS
29,ACT-000188,file,91.0,KID-009,True,True,True,True,True,,PASS
30,ACT-000189,openweb,94.25,KID-009,True,True,True,True,True,,PASS
31,ACT-000190,message,97.5,KID-009,True,True,True,True,True,,PASS
32,ACT-000191,file,100.75,KID-009,True,True,True,True,True,,PASS
33,ACT-000192,openweb,104.0,KID-009,True,True,True,True,True,,PASS
34,ACT-000193,message,107.25,KID-009,True,True,True,True,True,,PASS
35,ACT-000194,file,110.5,KID-009,True,True,True,True,True,,PASS
36,ACT-000195,openweb,113.75,KID-010,True,True,True,True,True,,PASS
37,ACT-000196,message,117.0,KID-010,True,True,True,True,True,,PASS
38,ACT-000197,file,120.25,KID-010,True,True,True,True,True,,PASS
39,ACT-000198,openweb,123.5,KID-010,True,True,True,True,True,,PASS
40,ACT-000199,message,126.75,KID-010,True,True,True,True,True,,PASS
41,ACT-000200,file,130.0,KID-010,True,True,True,True,True,,PASS
42,ACT-000201,openweb,133.25,KID-010,True,True,True,True,True,,PASS
43,ACT-000202,message,136.5,KID-010,True,True,True,True,True,,PASS
44,ACT-000203,file,139.75,KID-010,True,True,True,True,True,,PASS
45,ACT-000204,openweb,143.0,KID-010,True,True,True,True,True,,PASS
46,ACT-000205,message,146.25,KID-010,True,True,True,True,True,,PASS
47,ACT-000206,file,149.5,KID-010,True,True,True,True,True,,PASS
48,ACT-000207,openweb,152.75,KID-010,True,True,True,True,True,,PASS
49,ACT-000208,message,156.0,KID-010,True,True,True,True,True,,PASS
50,ACT-000209,file,159.25,KID-010,True,True,True,True,True,,PASS
