metric,value
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.message.success,30
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.message.trials,30
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.message.elapsed_ms.n,30
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.message.elapsed_ms.mean,38.733333333333334
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.message.elapsed_ms.median,37.0
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.message.elapsed_ms.p95,53.0
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.file.success,30
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.file.trials,30
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.file.elapsed_ms.n,30
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.file.elapsed_ms.mean,17.966666666666665
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.file.elapsed_ms.median,15.0
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.file.elapsed_ms.p95,31.0
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.openweb.success,30
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.openweb.trials,30
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.openweb.elapsed_ms.n,30
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.openweb.elapsed_ms.mean,768.6666666666666
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.openweb.elapsed_ms.median,756.5
Q1_functional_coverage.shared_profiles_by_placement.core_embedded.openweb.elapsed_ms.p95,993.0
Q1_functional_coverage.shared_profiles_by_placement.sidecar.message.success,30
Q1_functional_coverage.shared_profiles_by_placement.sidecar.message.trials,30
Q1_functional_coverage.shared_profiles_by_placement.sidecar.message.elapsed_ms.n,30
Q1_functional_coverage.shared_profiles_by_placement.sidecar.message.elapsed_ms.mean,40.733333333333334
Q1_functional_coverage.shared_profiles_by_placement.sidecar.message.elapsed_ms.median,37.0
Q1_functional_coverage.shared_profiles_by_placement.sidecar.message.elapsed_ms.p95,52.0
Q1_functional_coverage.shared_profiles_by_placement.sidecar.file.success,30
Q1_functional_coverage.shared_profiles_by_placement.sidecar.file.trials,30
Q1_functional_coverage.shared_profiles_by_placement.sidecar.file.elapsed_ms.n,30
Q1_functional_coverage.shared_profiles_by_placement.sidecar.file.elapsed_ms.mean,19.5
Q1_functional_coverage.shared_profiles_by_placement.sidecar.file.elapsed_ms.median,15.0
